 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 150  | Bruxish            |  0.02096% | 433    |  0.077% | 157    |  0.060% | 
 | 151  | Venusaur           |  0.01908% | 1323   |  0.235% | 593    |  0.226% | 
 | 152  | Krookodile         |  0.01846% | 819    |  0.146% | 415    |  0.158% | 
 | 153  | Crawdaunt          |  0.01654% | 216    |  0.038% | 108    |  0.041% | 
 | 154  | Braviary-Hisui     |  0.01616% | 1210   |  0.215% | 671    |  0.256% | 
 | 155  | Brambleghast       |  0.01575% | 887    |  0.158% | 327    |  0.125% | 
 | 156  | Bellibolt          |  0.01543% | 447    |  0.079% | 207    |  0.079% | 
 | 157  | Mandibuzz          |  0.01448% | 821    |  0.146% | 293    |  0.112% | 
 | 158  | Vikavolt           |  0.01306% | 644    |  0.114% | 287    |  0.110% | 
 | 159  | Oricorio-Sensu     |  0.01263% | 654    |  0.116% | 317    |  0.121% | 
 | 160  | Stonjourner        |  0.01228% | 459    |  0.082% | 178    |  0.068% | 
 | 161  | Typhlosion         |  0.01096% | 586    |  0.104% | 205    |  0.078% | 
 | 162  | Toxicroak          |  0.01064% | 558    |  0.099% | 278    |  0.106% | 
 | 163  | Furret             |  0.01040% | 46     |  0.008% | 8      |  0.003% | 
 | 164  | Alcremie           |  0.00949% | 427    |  0.076% | 158    |  0.060% | 
 | 165  | Volbeat            |  0.00941% | 238    |  0.042% | 93     |  0.035% | 
 | 166  | Pachirisu          |  0.00808% | 502    |  0.089% | 190    |  0.072% | 
 | 167  | Goodra-Hisui       |  0.00793% | 1132   |  0.201% | 536    |  0.205% | 
 | 168  | Tinkaton           |  0.00783% | 1095   |  0.195% | 461    |  0.176% | 
 | 169  | Magnezone          |  0.00730% | 570    |  0.101% | 248    |  0.095% | 
 | 170  | Rotom-Frost        |  0.00729% | 171    |  0.030% | 86     |  0.033% | 
 | 171  | Noivern            |  0.00722% | 483    |  0.086% | 156    |  0.060% | 
 | 172  | Porygon-Z          |  0.00705% | 554    |  0.098% | 277    |  0.106% | 
 | 173  | Spiritomb          |  0.00657% | 580    |  0.103% | 164    |  0.063% | 
 | 174  | Serperior          |  0.00596% | 1977   |  0.351% | 829    |  0.316% | 
 | 175  | Lapras             |  0.00564% | 720    |  0.128% | 365    |  0.139% | 
 | 176  | Hydrapple          |  0.00562% | 1079   |  0.192% | 471    |  0.180% | 
 | 177  | Jolteon            |  0.00539% | 468    |  0.083% | 212    |  0.081% | 
 | 178  | Umbreon            |  0.00538% | 877    |  0.156% | 325    |  0.124% | 
 | 179  | Infernape          |  0.00519% | 658    |  0.117% | 297    |  0.113% | 
 | 180  | Oricorio-Pom-Pom   |  0.00506% | 260    |  0.046% | 127    |  0.048% | 
 | 181  | Wartortle          |  0.00474% | 14     |  0.002% | 9      |  0.003% | 
 | 182  | Hitmontop          |  0.00466% | 597    |  0.106% | 227    |  0.087% | 
 | 183  | Meowstic           |  0.00443% | 670    |  0.119% | 250    |  0.095% | 
 | 184  | Barraskewda        |  0.00443% | 484    |  0.086% | 260    |  0.099% | 
 | 185  | Coalossal          |  0.00439% | 238    |  0.042% | 114    |  0.043% | 
 | 186  | Haxorus            |  0.00436% | 297    |  0.053% | 138    |  0.053% | 
 | 187  | Snorlax            |  0.00410% | 908    |  0.161% | 280    |  0.107% | 
 | 188  | Camerupt           |  0.00364% | 201    |  0.036% | 76     |  0.029% | 
 | 189  | Basculegion-F      |  0.00340% | 554    |  0.098% | 276    |  0.105% | 
 | 190  | Torterra           |  0.00339% | 429    |  0.076% | 212    |  0.081% | 
 | 191  | Pincurchin         |  0.00319% | 555    |  0.099% | 221    |  0.084% | 
 | 192  | Muk-Alola          |  0.00312% | 563    |  0.100% | 224    |  0.085% | 
 | 193  | Raichu-Alola       |  0.00312% | 202    |  0.036% | 103    |  0.039% | 
 | 194  | Wyrdeer            |  0.00298% | 262    |  0.047% | 109    |  0.042% | 
 | 195  | Cetitan            |  0.00291% | 861    |  0.153% | 430    |  0.164% | 
 | 196  | Ditto              |  0.00288% | 331    |  0.059% | 146    |  0.056% | 
 | 197  | Spewpa             |  0.00284% | 82     |  0.015% | 14     |  0.005% | 
 | 198  | Sceptile           |  0.00279% | 355    |  0.063% | 135    |  0.052% | 
 | 199  | Arboliva           |  0.00276% | 768    |  0.136% | 320    |  0.122% | 
 | 200  | Sandslash-Alola    |  0.00273% | 103    |  0.018% | 49     |  0.019% | 
 | 201  | Dudunsparce        |  0.00266% | 292    |  0.052% | 116    |  0.044% | 
 | 202  | Slowking           |  0.00265% | 569    |  0.101% | 238    |  0.091% | 
 | 203  | Misdreavus         |  0.00265% | 146    |  0.026% | 63     |  0.024% | 
 | 204  | Sneasel            |  0.00263% | 163    |  0.029% | 46     |  0.018% | 
 | 205  | Duskull            |  0.00257% | 110    |  0.020% | 24     |  0.009% | 
 | 206  | Clawitzer          |  0.00251% | 283    |  0.050% | 162    |  0.062% | 
 | 207  | Illumise           |  0.00250% | 563    |  0.100% | 258    |  0.098% | 
 | 208  | Heracross          |  0.00245% | 137    |  0.024% | 55     |  0.021% | 
 | 209  | Avalugg            |  0.00227% | 175    |  0.031% | 83     |  0.032% | 
 | 210  | Toxapex            |  0.00213% | 391    |  0.069% | 161    |  0.061% | 
 | 211  | Trevenant          |  0.00212% | 226    |  0.040% | 87     |  0.033% | 
 | 212  | Golduck            |  0.00212% | 646    |  0.115% | 208    |  0.079% | 
 | 213  | Conkeldurr         |  0.00201% | 832    |  0.148% | 384    |  0.147% | 
 | 214  | Inteleon           |  0.00198% | 969    |  0.172% | 429    |  0.164% | 
 | 215  | Mismagius          |  0.00196% | 263    |  0.047% | 113    |  0.043% | 
 | 216  | Cryogonal          |  0.00196% | 212    |  0.038% | 88     |  0.034% | 
 | 217  | Gogoat             |  0.00190% | 50     |  0.009% | 26     |  0.010% | 
 | 218  | Exeggutor-Alola    |  0.00190% | 432    |  0.077% | 167    |  0.064% | 
 | 219  | Dragalge           |  0.00182% | 227    |  0.040% | 106    |  0.040% | 
 | 220  | Alomomola          |  0.00179% | 46     |  0.008% | 12     |  0.005% | 
 | 221  | Persian-Alola      |  0.00175% | 197    |  0.035% | 92     |  0.035% | 
 | 222  | Palossand          |  0.00170% | 158    |  0.028% | 55     |  0.021% | 
 | 223  | Feraligatr         |  0.00163% | 372    |  0.066% | 142    |  0.054% | 
 | 224  | Glalie             |  0.00160% | 53     |  0.009% | 23     |  0.009% | 
 | 225  | Bombirdier         |  0.00149% | 91     |  0.016% | 46     |  0.018% | 
 | 226  | Rhydon             |  0.00144% | 171    |  0.030% | 58     |  0.022% | 
 | 227  | Mudsdale           |  0.00134% | 200    |  0.036% | 83     |  0.032% | 
 | 228  | Polteageist        |  0.00134% | 58     |  0.010% | 9      |  0.003% | 
 | 229  | Perrserker         |  0.00131% | 605    |  0.108% | 227    |  0.087% | 
 | 230  | Revavroom          |  0.00130% | 96     |  0.017% | 27     |  0.010% | 
 | 231  | Bisharp            |  0.00126% | 111    |  0.020% | 42     |  0.016% | 
 | 232  | Lokix              |  0.00119% | 225    |  0.040% | 109    |  0.042% | 
 | 233  | Slowbro            |  0.00118% | 355    |  0.063% | 135    |  0.052% | 
 | 234  | Tentacruel         |  0.00116% | 55     |  0.010% | 18     |  0.007% | 
 | 235  | Wigglytuff         |  0.00113% | 89     |  0.016% | 43     |  0.016% | 
 | 236  | Lilligant          |  0.00112% | 242    |  0.043% | 82     |  0.031% | 
 | 237  | Cinccino           |  0.00108% | 188    |  0.033% | 75     |  0.029% | 
 | 238  | Dugtrio            |  0.00100% | 316    |  0.056% | 153    |  0.058% | 
 | 239  | Zebstrika          |  0.00098% | 69     |  0.012% | 23     |  0.009% | 
 | 240  | Passimian          |  0.00096% | 160    |  0.028% | 54     |  0.021% | 
 | 241  | Slowking-Galar     |  0.00095% | 523    |  0.093% | 225    |  0.086% | 
 | 242  | Minior             |  0.00094% | 53     |  0.009% | 14     |  0.005% | 
 | 243  | Pikachu            |  0.00093% | 207    |  0.037% | 43     |  0.016% | 
 | 244  | Leafeon            |  0.00092% | 198    |  0.035% | 63     |  0.024% | 
 | 245  | Hitmonchan         |  0.00091% | 20     |  0.004% | 6      |  0.002% | 
 | 246  | Scovillain         |  0.00089% | 268    |  0.048% | 118    |  0.045% | 
 | 247  | Sandaconda         |  0.00082% | 50     |  0.009% | 18     |  0.007% | 
 | 248  | Electivire         |  0.00075% | 235    |  0.042% | 113    |  0.043% | 
 | 249  | Bastiodon          |  0.00075% | 238    |  0.042% | 91     |  0.035% | 
 | 250  | Florges            |  0.00073% | 627    |  0.111% | 330    |  0.126% | 
 | 251  | Drednaw            |  0.00069% | 102    |  0.018% | 56     |  0.021% | 
 | 252  | Beartic            |  0.00068% | 215    |  0.038% | 101    |  0.039% | 
 | 253  | Riolu              |  0.00064% | 102    |  0.018% | 51     |  0.019% | 
 | 254  | Cinderace          |  0.00063% | 431    |  0.077% | 218    |  0.083% | 
 | 255  | Sunkern            |  0.00062% | 16     |  0.003% | 5      |  0.002% | 
 | 256  | Froslass           |  0.00058% | 119    |  0.021% | 54     |  0.021% | 
 | 257  | Toucannon          |  0.00056% | 45     |  0.008% | 14     |  0.005% | 
 | 258  | Lurantis           |  0.00055% | 158    |  0.028% | 70     |  0.027% | 
 | 259  | Torracat           |  0.00049% | 28     |  0.005% | 8      |  0.003% | 
 | 260  | Shiftry            |  0.00046% | 269    |  0.048% | 113    |  0.043% | 
 | 261  | Slowbro-Galar      |  0.00043% | 175    |  0.031% | 48     |  0.018% | 
 | 262  | Sunflora           |  0.00041% | 127    |  0.023% | 55     |  0.021% | 
 | 263  | Golurk             |  0.00040% | 246    |  0.044% | 93     |  0.035% | 
 | 264  | Dewgong            |  0.00039% | 145    |  0.026% | 69     |  0.026% | 
 | 265  | Charjabug          |  0.00038% | 115    |  0.020% | 48     |  0.018% | 
 | 266  | Magby              |  0.00034% | 2      |  0.000% | 2      |  0.001% | 
 | 267  | Luxray             |  0.00032% | 182    |  0.032% | 64     |  0.024% | 
 | 268  | Floatzel           |  0.00032% | 124    |  0.022% | 48     |  0.018% | 
 | 269  | Magneton           |  0.00032% | 30     |  0.005% | 9      |  0.003% | 
 | 270  | Scraggy            |  0.00031% | 58     |  0.010% | 29     |  0.011% | 
 | 271  | Eelektross         |  0.00031% | 154    |  0.027% | 65     |  0.025% | 
 | 272  | Duraludon          |  0.00030% | 101    |  0.018% | 45     |  0.017% | 
 | 273  | Emboar             |  0.00028% | 131    |  0.023% | 69     |  0.026% | 
 | 274  | Jigglypuff         |  0.00026% | 7      |  0.001% | 4      |  0.002% | 
 | 275  | Munchlax           |  0.00025% | 11     |  0.002% | 1      |  0.000% | 
 | 276  | Clodsire           |  0.00025% | 260    |  0.046% | 96     |  0.037% | 
 | 277  | Delibird           |  0.00023% | 25     |  0.004% | 9      |  0.003% | 
 | 278  | Appletun           |  0.00023% | 66     |  0.012% | 18     |  0.007% | 
 | 279  | Galvantula         |  0.00019% | 245    |  0.044% | 92     |  0.035% | 
 | 280  | Lycanroc-Dusk      |  0.00018% | 170    |  0.030% | 62     |  0.024% | 
 | 281  | Quilava            |  0.00016% | 38     |  0.007% | 6      |  0.002% | 
 | 282  | Greedent           |  0.00016% | 44     |  0.008% | 22     |  0.008% | 
 | 283  | Ivysaur            |  0.00015% | 31     |  0.006% | 18     |  0.007% | 
 | 284  | Koffing            |  0.00013% | 44     |  0.008% | 17     |  0.006% | 
 | 285  | Mabosstiff         |  0.00013% | 32     |  0.006% | 11     |  0.004% | 
 | 286  | Hypno              |  0.00013% | 30     |  0.005% | 3      |  0.001% | 
 | 287  | Braixen            |  0.00013% | 9      |  0.002% | 3      |  0.001% | 
 | 288  | Grotle             |  0.00012% | 38     |  0.007% | 11     |  0.004% | 
 | 289  | Golem-Alola        |  0.00012% | 126    |  0.022% | 66     |  0.025% | 
 | 290  | Electrode          |  0.00011% | 73     |  0.013% | 21     |  0.008% | 
 | 291  | Banette            |  0.00010% | 21     |  0.004% | 11     |  0.004% | 
 | 292  | Primeape           |  0.00010% | 137    |  0.024% | 54     |  0.021% | 
 | 293  | Grafaiai           |  0.00009% | 360    |  0.064% | 146    |  0.056% | 
 | 294  | Flapple            |  0.00009% | 54     |  0.010% | 28     |  0.011% | 
 | 295  | Carbink            |  0.00008% | 88     |  0.016% | 34     |  0.013% | 
 | 296  | Dipplin            |  0.00008% | 68     |  0.012% | 24     |  0.009% | 
 | 297  | Zoroark            |  0.00008% | 57     |  0.010% | 10     |  0.004% | 
 | 298  | Slowpoke           |  0.00008% | 24     |  0.004% | 11     |  0.004% | 
 | 299  | Grovyle            |  0.00008% | 7      |  0.001% | 3      |  0.001% | 
 | 300  | Oricorio           |  0.00007% | 36     |  0.006% | 20     |  0.008% | 
